;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3147105;Pará de Minas;2352;3752;3203;0;249;164;9720;13856;0,241975309;0,38600823;0,329526749;0;0,016872428;0,025617284;0,185744852;29912;5556;2,850531198;15837,55134;1856,557294;11275,27348;2705,72056;0,346248997
3147204;Paraguaçú;832;727;731;1;50;29;2370;3268;0,351054852;0,306751055;0,308438819;0,000421941;0,012236287;0,021097046;0,282189807;11106;3134;3,204382181;10042,53376;1217,797168;4512,194962;4312,541625;0,248154151
3147303;Paraísopolis;1415;3483;1895;0;120;61;6974;9013;0,202896473;0,499426441;0,271723545;0;0,008746774;0,017206768;0,227127111;18417;4183;4,208361489;17603,57611;3480,155013;9296,56895;4826,852145;0,351848835
3147600;Passa Quatro;979;763;905;0;109;14;2770;3720;0,353429603;0,275451264;0,326714801;0;0,005054152;0,039350181;0,410057847;10718;4395;3,716950629;16335,99801;4289,778528;3021,826825;9024,39266;0,285501026
3147907;Passos;2197;5246;2588;1;285;197;10514;17549;0,208959483;0,498953776;0,246147993;9,51113E-05;0,018736922;0,027106715;0,095826802;33811;3240;19,54174978;63315,26929;7902,827289;28776,90714;26635,53487;0,475555293
3148004;Patos de Minas;1117;5698;6705;1;337;182;14040;18431;0,079558405;0,405840456;0,477564103;7,12251E-05;0,012962963;0,024002849;0,160699832;64244;10324;6,184472797;63848,49716;2573,23429;35224,31698;26050,94589;0,21724986
3148608;Peçanha;639;4572;5343;0;184;324;11062;16002;0,057765323;0,413306816;0,483004882;0;0,029289459;0,01663352;0,102432432;40700;4169;3,183784658;13273,19824;134,0802988;10136,31118;3002,806761;0,291081081
3148707;Pedra Azul;979;3147;2319;0;182;258;6885;9747;0,142193174;0,45708061;0,336819172;0;0,037472767;0,026434277;0,194920664;21932;4275;2,181651355;9326,559544;133,6847817;6439,237073;2753,637689;0,306356009
3149309;Pedro Leopoldo;4237;1163;2165;0;202;103;7870;10293;0,538373571;0,147776366;0,275095299;0;0,013087675;0,02566709;0,49055884;15729;7716;2,059625537;15892,07064;2526,958788;5477,952391;7887,159461;0,4484074
3150802;Piranga;2154;4250;2098;0;239;148;8889;12796;0,242321971;0,478119024;0,23602205;0;0,016649792;0,026887164;0,114467668;36744;4206;3,104449428;13057,3143;385,2336609;9097,462799;3574,617836;0,261539299
3151206;Pirapora;3088;1446;1086;1;146;133;5900;9032;0,523389831;0,245084746;0,184067797;0,000169492;0,022542373;0,024745763;0,312424864;28282;8836;2,103705346;18588,34044;1283,848525;7369,673798;9934,818114;0,17488155
3151404;Pitanguí;1912;3259;3816;1;266;115;9369;13220;0,204077276;0,34784929;0,407300672;0,000106735;0,012274522;0,028391504;0,178811415;34377;6147;3,734076489;22953,36818;3416,476759;11930,84578;7606,045636;0,318468744
3151503;Piuí;938;2082;3326;0;154;91;6591;10741;0,142315278;0,315885298;0,504627522;0;0,013806706;0,023365195;0,355045755;15736;5587;2,259698381;12624,93485;1307,975068;5522,181632;5794,778154;0,799758516
3151800;Poços de Caldas;3011;1064;792;3;206;326;5402;8319;0,557386153;0,196964087;0,146612366;0,00055535;0,060348019;0,038134024;0,588580259;25237;14854;6,677582226;99188,80638;8116,011009;6227,531997;84845,26338;0,306256687
